,Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate,State
0,2005,Jan,64.1,61.2,2813887,2684510,129377,4.6,AZ
1,2005,Feb,64.1,61.1,2821319,2690651,130668,4.6,AZ
2,2005,Mar,64.1,61.1,2830147,2698108,132039,4.7,AZ
3,2005,Apr,64.1,61.1,2840229,2707135,133094,4.7,AZ
4,2005,May,64.2,61.2,2850925,2717283,133642,4.7,AZ
5,2005,Jun,64.2,61.2,2861177,2727304,133873,4.7,AZ
6,2005,Jul,64.2,61.2,2870449,2736262,134187,4.7,AZ
7,2005,Aug,64.2,61.2,2878393,2743723,134670,4.7,AZ
8,2005,Sep,64.1,61.1,2885335,2750192,135143,4.7,AZ
9,2005,Oct,64.0,61.0,2892105,2757019,135086,4.7,AZ
10,2005,Nov,64.0,61.0,2899289,2765037,134252,4.6,AZ
11,2005,Dec,63.9,61.0,2907204,2774501,132703,4.6,AZ
12,2006,Jan,63.9,61.1,2916314,2785456,130858,4.5,AZ
13,2006,Feb,64.0,61.1,2926379,2796970,129409,4.4,AZ
14,2006,Mar,64.0,61.2,2937047,2808195,128852,4.4,AZ
15,2006,Apr,64.1,61.3,2947857,2818660,129197,4.4,AZ
16,2006,May,64.1,61.3,2958210,2828396,129814,4.4,AZ
17,2006,Jun,64.2,61.3,2967768,2837632,130136,4.4,AZ
18,2006,Jul,64.2,61.4,2977028,2847274,129754,4.4,AZ
19,2006,Aug,64.2,61.5,2986508,2857798,128710,4.3,AZ
20,2006,Sep,64.3,61.5,2995813,2868713,127100,4.2,AZ
21,2006,Oct,64.3,61.6,3004252,2879213,125039,4.2,AZ
22,2006,Nov,64.3,61.7,3011163,2888274,122889,4.1,AZ
23,2006,Dec,64.2,61.7,3015741,2894953,120788,4.0,AZ
24,2007,Jan,64.1,61.6,3017695,2899008,118687,3.9,AZ
25,2007,Feb,64.0,61.5,3017647,2901286,116361,3.9,AZ
26,2007,Mar,63.8,61.4,3015955,2902281,113674,3.8,AZ
27,2007,Apr,63.6,61.3,3013261,2902557,110704,3.7,AZ
28,2007,May,63.4,61.2,3010820,2902959,107861,3.6,AZ
29,2007,Jun,63.3,61.1,3009749,2904001,105748,3.5,AZ
30,2007,Jul,63.2,60.9,3010496,2905303,105193,3.5,AZ
31,2007,Aug,63.1,60.9,3013553,2906699,106854,3.5,AZ
32,2007,Sep,63.1,60.8,3018977,2908422,110555,3.7,AZ
33,2007,Oct,63.1,60.7,3026157,2910471,115686,3.8,AZ
34,2007,Nov,63.1,60.6,3033968,2912955,121013,4.0,AZ
35,2007,Dec,63.2,60.6,3041613,2915755,125858,4.1,AZ
36,2008,Jan,63.2,60.5,3048650,2918156,130494,4.3,AZ
37,2008,Feb,63.2,60.4,3055250,2919912,135338,4.4,AZ
38,2008,Mar,63.3,60.4,3062260,2920981,141279,4.6,AZ
39,2008,Apr,63.3,60.3,3070618,2921370,149248,4.9,AZ
40,2008,May,63.4,60.1,3080677,2921270,159407,5.2,AZ
41,2008,Jun,63.5,60.0,3092028,2921092,170936,5.5,AZ
42,2008,Jul,63.7,59.9,3103708,2920905,182803,5.9,AZ
43,2008,Aug,63.8,59.8,3114501,2920241,194260,6.2,AZ
44,2008,Sep,63.9,59.7,3123387,2917994,205393,6.6,AZ
45,2008,Oct,63.9,59.5,3129730,2912892,216838,6.9,AZ
46,2008,Nov,63.9,59.2,3133420,2904315,229105,7.3,AZ
47,2008,Dec,63.9,58.9,3135110,2892889,242221,7.7,AZ
48,2009,Jan,63.8,58.6,3135245,2879700,255545,8.2,AZ
49,2009,Feb,63.7,58.2,3134718,2866239,268479,8.6,AZ
50,2009,Mar,63.6,57.9,3134761,2854602,280159,8.9,AZ
51,2009,Apr,63.5,57.7,3135697,2845709,289988,9.2,AZ
52,2009,May,63.5,57.4,3136601,2838286,298315,9.5,AZ
53,2009,Jun,63.4,57.2,3136757,2831102,305655,9.7,AZ
54,2009,Jul,63.3,57.0,3135266,2823229,312037,10.0,AZ
55,2009,Aug,63.1,56.7,3131513,2814158,317355,10.1,AZ
56,2009,Sep,62.9,56.5,3126346,2804614,321732,10.3,AZ
57,2009,Oct,62.7,56.2,3120895,2795851,325044,10.4,AZ
58,2009,Nov,62.6,56.0,3116842,2789383,327459,10.5,AZ
59,2009,Dec,62.5,55.9,3115241,2785895,329346,10.6,AZ
60,2010,Jan,62.4,55.8,3115797,2785351,330446,10.6,AZ
61,2010,Feb,62.3,55.7,3116749,2786396,330353,10.6,AZ
62,2010,Mar,62.3,55.7,3116147,2787165,328982,10.6,AZ
63,2010,Apr,64.3,57.6,3113354,2786810,326544,10.5,AZ
64,2010,May,64.2,57.5,3108504,2785501,323003,10.4,AZ
65,2010,Jun,64.0,57.4,3102036,2782917,319119,10.3,AZ
66,2010,Jul,63.7,57.2,3094880,2779038,315842,10.2,AZ
67,2010,Aug,63.5,57.1,3088178,2774664,313514,10.2,AZ
68,2010,Sep,63.3,56.9,3082127,2770279,311848,10.1,AZ
69,2010,Oct,63.1,56.7,3076852,2766599,310253,10.1,AZ
70,2010,Nov,62.9,56.6,3072209,2763909,308300,10.0,AZ
71,2010,Dec,62.8,56.5,3067605,2762374,305231,10.0,AZ
72,2011,Jan,62.6,56.4,3063471,2761928,301543,9.8,AZ
73,2011,Feb,62.5,56.4,3060176,2761805,298371,9.8,AZ
74,2011,Mar,62.3,56.3,3057262,2761339,295923,9.7,AZ
75,2011,Apr,62.2,56.2,3054212,2760059,294153,9.6,AZ
76,2011,May,62.1,56.1,3051429,2758301,293128,9.6,AZ
77,2011,Jun,62.0,56.0,3049264,2757097,292167,9.6,AZ
78,2011,Jul,61.9,56.0,3047928,2757526,290402,9.5,AZ
79,2011,Aug,61.8,55.9,3047345,2759876,287469,9.4,AZ
80,2011,Sep,61.7,55.9,3047212,2763942,283270,9.3,AZ
81,2011,Oct,61.6,55.9,3047502,2769137,278365,9.1,AZ
82,2011,Nov,61.5,56.0,3047623,2774329,273294,9.0,AZ
83,2011,Dec,61.4,56.0,3047727,2778825,268902,8.8,AZ
84,2012,Jan,61.3,56.0,3048161,2782738,265423,8.7,AZ
85,2012,Feb,61.3,56.0,3048882,2786310,262572,8.6,AZ
86,2012,Mar,61.2,56.0,3050044,2789251,260793,8.6,AZ
87,2012,Apr,61.2,56.0,3051345,2791656,259689,8.5,AZ
88,2012,May,61.1,55.9,3052719,2794227,258492,8.5,AZ
89,2012,Jun,61.0,55.9,3054066,2797416,256650,8.4,AZ
90,2012,Jul,61.0,55.9,3055366,2801303,254063,8.3,AZ
91,2012,Aug,60.9,55.9,3056822,2805561,251261,8.2,AZ
92,2012,Sep,60.9,55.9,3058702,2809750,248952,8.1,AZ
93,2012,Oct,60.8,55.9,3060209,2812844,247365,8.1,AZ
94,2012,Nov,60.8,55.9,3060910,2814217,246693,8.1,AZ
95,2012,Dec,60.7,55.8,3060362,2813704,246658,8.1,AZ
96,2013,Jan,60.6,55.7,3058620,2811785,246835,8.1,AZ
97,2013,Feb,60.5,55.6,3056893,2810201,246692,8.1,AZ
98,2013,Mar,60.4,55.5,3056334,2810619,245715,8.0,AZ
99,2013,Apr,60.3,55.5,3057784,2813639,244145,8.0,AZ
100,2013,May,60.3,55.5,3060694,2818192,242502,7.9,AZ
101,2013,Jun,60.3,55.6,3064094,2822985,241109,7.9,AZ
102,2013,Jul,60.3,55.6,3067255,2827358,239897,7.8,AZ
103,2013,Aug,60.2,55.6,3069196,2831079,238117,7.8,AZ
104,2013,Sep,60.2,55.5,3069703,2834283,235420,7.7,AZ
105,2013,Oct,60.1,55.5,3070375,2837884,232491,7.6,AZ
106,2013,Nov,60.0,55.5,3072551,2843115,229436,7.5,AZ
107,2013,Dec,60.0,55.6,3076382,2850146,226236,7.4,AZ
108,2014,Jan,60.0,55.7,3081484,2858474,223010,7.2,AZ
109,2014,Feb,60.0,55.8,3087246,2867319,219927,7.1,AZ
110,2014,Mar,60.1,55.8,3093246,2875911,217335,7.0,AZ
111,2014,Apr,60.1,55.9,3098896,2883663,215233,6.9,AZ
112,2014,May,60.1,56.0,3104438,2891087,213351,6.9,AZ
113,2014,Jun,60.1,56.1,3110915,2899220,211695,6.8,AZ
114,2014,Jul,60.2,56.1,3118643,2908222,210421,6.7,AZ
115,2014,Aug,60.3,56.2,3127937,2918301,209636,6.7,AZ
116,2014,Sep,60.4,56.3,3138216,2929099,209117,6.7,AZ
117,2014,Oct,60.4,56.4,3147375,2939396,207979,6.6,AZ
118,2014,Nov,60.5,56.5,3153926,2947951,205975,6.5,AZ
119,2014,Dec,60.5,56.6,3158664,2954989,203675,6.4,AZ
120,2015,Jan,60.4,56.6,3162393,2961081,201312,6.4,AZ
121,2015,Feb,60.4,56.6,3165741,2966433,199308,6.3,AZ
122,2015,Mar,60.4,56.6,3169469,2971786,197683,6.2,AZ
123,2015,Apr,60.4,56.7,3174046,2977647,196399,6.2,AZ
124,2015,May,60.4,56.7,3179024,2983595,195429,6.1,AZ
125,2015,Jun,60.4,56.7,3183495,2988875,194620,6.1,AZ
126,2015,Jul,60.4,56.7,3187178,2993303,193875,6.1,AZ
127,2015,Aug,60.3,56.7,3190286,2997349,192937,6.0,AZ
128,2015,Sep,60.3,56.7,3193508,3002093,191415,6.0,AZ
129,2015,Oct,60.3,56.7,3198236,3008840,189396,5.9,AZ
130,2015,Nov,60.3,56.8,3204955,3017642,187313,5.8,AZ
131,2015,Dec,60.3,56.8,3212709,3027448,185261,5.8,AZ
132,2016,Jan,60.4,56.9,3220542,3037144,183398,5.7,AZ
133,2016,Feb,60.4,57.0,3227960,3046025,181935,5.6,AZ
134,2016,Mar,60.4,57.1,3234359,3053620,180739,5.6,AZ
135,2016,Apr,60.4,57.1,3239833,3059997,179836,5.6,AZ
136,2016,May,60.4,57.1,3245197,3065928,179269,5.5,AZ
137,2016,Jun,60.4,57.1,3250898,3072085,178813,5.5,AZ
138,2016,Jul,60.4,57.1,3256816,3078706,178110,5.5,AZ
139,2016,Aug,60.4,57.2,3262727,3085510,177217,5.4,AZ
140,2016,Sep,60.4,57.2,3268544,3092046,176498,5.4,AZ
141,2016,Oct,60.4,57.2,3274187,3098339,175848,5.4,AZ
142,2016,Nov,60.4,57.2,3280006,3105116,174890,5.3,AZ
143,2016,Dec,60.5,57.3,3286375,3112781,173594,5.3,AZ
144,2017,Jan,60.5,57.3,3207827,3040381,167446,5.2,AZ
145,2017,Feb,60.5,57.4,3214755,3049108,165647,5.2,AZ
146,2017,Mar,60.6,57.5,3222018,3058180,163838,5.1,AZ
147,2017,Apr,60.7,57.6,3229183,3067067,162116,5.0,AZ
148,2017,May,60.7,57.7,3235526,3075187,160339,5.0,AZ
149,2017,Jun,60.7,57.8,3240691,3081904,158787,4.9,AZ
150,2017,Jul,60.7,57.8,3245145,3087275,157870,4.9,AZ
151,2017,Aug,60.7,57.8,3248948,3091379,157569,4.8,AZ
152,2017,Sep,60.7,57.7,3252264,3094480,157784,4.9,AZ
153,2017,Oct,60.6,57.7,3255727,3097498,158229,4.9,AZ
154,2017,Nov,60.6,57.7,3260024,3101312,158712,4.9,AZ
155,2017,Dec,60.7,57.7,3265952,3107262,158690,4.9,AZ
156,2018,Jan,60.7,57.8,3273805,3115713,158092,4.8,AZ
157,2018,Feb,60.8,57.9,3283642,3126500,157142,4.8,AZ
158,2018,Mar,60.9,58.1,3294609,3138598,156011,4.7,AZ
159,2018,Apr,61.1,58.2,3305181,3150198,154983,4.7,AZ
160,2018,May,61.2,58.3,3314729,3160051,154678,4.7,AZ
161,2018,Jun,61.2,58.4,3323615,3168258,155357,4.7,AZ
162,2018,Jul,61.3,58.4,3332174,3175224,156950,4.7,AZ
163,2018,Aug,61.4,58.4,3341526,3181911,159615,4.8,AZ
164,2018,Sep,61.4,58.5,3351981,3188931,163050,4.9,AZ
165,2018,Oct,61.5,58.5,3362689,3196310,166379,4.9,AZ
166,2018,Nov,61.6,58.5,3372618,3203916,168702,5.0,AZ
167,2018,Dec,61.7,58.6,3381265,3211697,169568,5.0,AZ
168,2019,Jan,61.7,58.6,3388861,3219772,169089,5.0,AZ
169,2019,Feb,61.8,58.7,3395900,3228407,167493,4.9,AZ
170,2019,Mar,61.8,58.8,3403114,3237376,165738,4.9,AZ
171,2019,Apr,61.9,58.9,3411191,3246786,164405,4.8,AZ
172,2019,May,61.9,59.0,3419960,3256037,163923,4.8,AZ
173,2019,Jun,62.0,59.0,3429122,3264545,164577,4.8,AZ
174,2019,Jul,62.1,59.1,3438010,3271994,166016,4.8,AZ
175,2019,Aug,62.1,59.1,3446052,3278754,167298,4.9,AZ
176,2019,Sep,62.1,59.1,3453772,3286299,167473,4.8,AZ
177,2019,Oct,62.1,59.1,3462324,3294676,167648,4.8,AZ
178,2019,Nov,62.2,59.2,3471514,3302812,168702,4.9,AZ
179,2019,Dec,62.2,59.2,3478699,3308073,170626,4.9,AZ
180,2020,Jan,62.2,59.1,3481405,3308621,172784,5.0,AZ
181,2020,Feb,62.0,58.9,3479167,3304189,174978,5.0,AZ
182,2020,Mar,61.8,58.7,3474013,3297225,176788,5.1,AZ
183,2020,Apr,60.3,51.9,3393096,2919929,473167,13.9,AZ
184,2020,May,60.9,54.2,3432853,3053663,379190,11.0,AZ
185,2020,Jun,60.7,54.9,3426571,3101634,324937,9.5,AZ
186,2020,Jul,60.9,55.6,3442991,3147185,295806,8.6,AZ
187,2020,Aug,60.8,56.2,3447119,3184361,262758,7.6,AZ
188,2020,Sep,61.1,56.6,3465285,3214835,250450,7.2,AZ
189,2020,Oct,61.0,56.9,3469010,3235644,233366,6.7,AZ
190,2020,Nov,61.0,57.1,3475251,3250125,225126,6.5,AZ
191,2020,Dec,61.1,57.2,3482051,3261175,220876,6.3,AZ
192,2021,Jan,61.1,57.3,3486137,3272202,213935,6.1,AZ
193,2021,Feb,61.1,57.5,3494553,3284849,209704,6.0,AZ
194,2021,Mar,61.2,57.6,3503517,3299435,204082,5.8,AZ
195,2021,Apr,61.3,57.8,3512702,3314631,198071,5.6,AZ
196,2021,May,61.3,58.0,3519581,3329319,190262,5.4,AZ
197,2021,Jun,61.3,58.1,3525185,3342335,182850,5.2,AZ
198,2021,Jul,61.2,58.2,3527687,3355550,172137,4.9,AZ
199,2021,Aug,61.1,58.4,3528408,3368401,160007,4.5,AZ
200,2021,Sep,61.0,58.5,3528812,3381004,147808,4.2,AZ
201,2021,Oct,60.9,58.5,3530300,3391431,138869,3.9,AZ
202,2021,Nov,60.8,58.5,3530829,3394228,136601,3.9,AZ
203,2021,Dec,60.7,58.4,3531104,3394307,136797,3.9,AZ
204,2022,Jan,60.7,58.5,3536281,3406634,129647,3.7,AZ
205,2022,Feb,60.8,58.6,3543498,3417664,125834,3.6,AZ
206,2022,Mar,60.7,58.7,3548670,3431900,116770,3.3,AZ
207,2022,Apr,60.8,58.8,3556902,3441953,114949,3.2,AZ
208,2022,May,60.9,58.9,3569541,3454446,115095,3.2,AZ
209,2022,Jun,60.9,58.9,3577764,3460874,116890,3.3,AZ
210,2022,Jul,60.9,58.9,3584437,3465695,118742,3.3,AZ
211,2022,Aug,61.0,58.9,3595506,3470456,125050,3.5,AZ
212,2022,Sep,61.1,58.8,3607213,3473733,133480,3.7,AZ
213,2022,Oct,61.1,58.7,3616745,3474163,142582,3.9,AZ
214,2022,Nov,61.1,58.7,3623152,3476051,147101,4.1,AZ
0,2005,Jan,70.2,67.7,346365,334412,11953,3.5,VT
1,2005,Feb,70.2,67.8,346736,334776,11960,3.4,VT
2,2005,Mar,70.3,67.8,347219,335273,11946,3.4,VT
3,2005,Apr,70.3,67.9,347780,335872,11908,3.4,VT
4,2005,May,70.4,68.0,348442,336553,11889,3.4,VT
5,2005,Jun,70.5,68.1,349161,337233,11928,3.4,VT
6,2005,Jul,70.6,68.2,349868,337831,12037,3.4,VT
7,2005,Aug,70.7,68.2,350538,338360,12178,3.5,VT
8,2005,Sep,70.8,68.3,351183,338880,12303,3.5,VT
9,2005,Oct,70.8,68.3,351830,339450,12380,3.5,VT
10,2005,Nov,70.9,68.4,352432,340020,12412,3.5,VT
11,2005,Dec,70.9,68.4,352929,340528,12401,3.5,VT
12,2006,Jan,71.0,68.5,353344,340982,12362,3.5,VT
13,2006,Feb,71.0,68.5,353706,341368,12338,3.5,VT
14,2006,Mar,71.0,68.5,354035,341639,12396,3.5,VT
15,2006,Apr,71.1,68.5,354370,341788,12582,3.6,VT
16,2006,May,71.1,68.5,354749,341898,12851,3.6,VT
17,2006,Jun,71.1,68.5,355183,342044,13139,3.7,VT
18,2006,Jul,71.2,68.5,355703,342294,13409,3.8,VT
19,2006,Aug,71.3,68.5,356239,342595,13644,3.8,VT
20,2006,Sep,71.3,68.5,356647,342812,13835,3.9,VT
21,2006,Oct,71.3,68.5,356823,342892,13931,3.9,VT
22,2006,Nov,71.3,68.5,356762,342822,13940,3.9,VT
23,2006,Dec,71.2,68.4,356469,342563,13906,3.9,VT
24,2007,Jan,71.0,68.3,355976,342115,13861,3.9,VT
25,2007,Feb,70.9,68.1,355401,341580,13821,3.9,VT
26,2007,Mar,70.8,68.0,354803,341022,13781,3.9,VT
27,2007,Apr,70.6,67.9,354210,340469,13741,3.9,VT
28,2007,May,70.5,67.7,353648,339909,13739,3.9,VT
29,2007,Jun,70.3,67.6,353120,339337,13783,3.9,VT
30,2007,Jul,70.2,67.4,352634,338784,13850,3.9,VT
31,2007,Aug,70.1,67.3,352250,338324,13926,4.0,VT
32,2007,Sep,70.0,67.2,352038,338053,13985,4.0,VT
33,2007,Oct,70.0,67.2,351966,337926,14040,4.0,VT
34,2007,Nov,69.9,67.1,351983,337899,14084,4.0,VT
35,2007,Dec,69.9,67.1,352068,337945,14123,4.0,VT
36,2008,Jan,69.9,67.1,352192,337980,14212,4.0,VT
37,2008,Feb,69.9,67.1,352351,337975,14376,4.1,VT
38,2008,Mar,70.0,67.1,352567,337934,14633,4.2,VT
39,2008,Apr,70.0,67.0,352841,337854,14987,4.2,VT
40,2008,May,70.0,67.0,353179,337781,15398,4.4,VT
41,2008,Jun,70.1,66.9,353581,337764,15817,4.5,VT
42,2008,Jul,70.1,66.9,353970,337768,16202,4.6,VT
43,2008,Aug,70.1,66.9,354246,337699,16547,4.7,VT
44,2008,Sep,70.1,66.8,354355,337442,16913,4.8,VT
45,2008,Oct,70.3,66.9,355352,337955,17397,4.9,VT
46,2008,Nov,70.4,66.9,356228,338176,18052,5.1,VT
47,2008,Dec,70.6,66.8,357013,338155,18858,5.3,VT
48,2009,Jan,70.7,66.8,357735,337995,19740,5.5,VT
49,2009,Feb,70.8,66.7,358464,337853,20611,5.7,VT
50,2009,Mar,71.0,66.7,359307,337951,21356,5.9,VT
51,2009,Apr,71.0,66.7,359755,337870,21885,6.1,VT
52,2009,May,71.3,66.9,361124,338923,22201,6.1,VT
53,2009,Jun,71.2,66.8,360821,338444,22377,6.2,VT
54,2009,Jul,71.1,66.6,360377,337862,22515,6.2,VT
55,2009,Aug,70.9,66.4,359802,337117,22685,6.3,VT
56,2009,Sep,70.7,66.2,359182,336279,22903,6.4,VT
57,2009,Oct,70.6,66.0,358651,335482,23169,6.5,VT
58,2009,Nov,70.5,65.9,358407,334938,23469,6.5,VT
59,2009,Dec,70.5,65.8,358555,334803,23752,6.6,VT
60,2010,Jan,70.6,65.9,359006,335086,23920,6.7,VT
61,2010,Feb,70.6,65.9,359539,335633,23906,6.6,VT
62,2010,Mar,70.7,66.0,359952,336236,23716,6.6,VT
63,2010,Apr,71.1,66.5,360198,336797,23401,6.5,VT
64,2010,May,71.1,66.6,360279,337283,22996,6.4,VT
65,2010,Jun,71.1,66.6,360157,337576,22581,6.3,VT
66,2010,Jul,71.0,66.6,359881,337624,22257,6.2,VT
67,2010,Aug,70.9,66.5,359635,337553,22082,6.1,VT
68,2010,Sep,70.8,66.5,359493,337459,22034,6.1,VT
69,2010,Oct,70.7,66.4,359468,337452,22016,6.1,VT
70,2010,Nov,70.7,66.4,359473,337528,21945,6.1,VT
71,2010,Dec,70.7,66.4,359459,337650,21809,6.1,VT
72,2011,Jan,70.6,66.4,359441,337829,21612,6.0,VT
73,2011,Feb,70.6,66.4,359320,337959,21361,5.9,VT
74,2011,Mar,70.5,66.3,358981,337921,21060,5.9,VT
75,2011,Apr,70.3,66.2,358434,337692,20742,5.8,VT
76,2011,May,70.2,66.1,357830,337364,20466,5.7,VT
77,2011,Jun,70.0,66.1,357343,337129,20214,5.7,VT
78,2011,Jul,69.9,66.0,357058,337145,19913,5.6,VT
79,2011,Aug,69.9,66.1,356927,337389,19538,5.5,VT
80,2011,Sep,69.9,66.1,356866,337751,19115,5.4,VT
81,2011,Oct,69.8,66.2,356776,338090,18686,5.2,VT
82,2011,Nov,69.8,66.2,356508,338251,18257,5.1,VT
83,2011,Dec,69.7,66.2,356006,338170,17836,5.0,VT
84,2012,Jan,69.5,66.1,355362,337888,17474,4.9,VT
85,2012,Feb,69.4,66.0,354783,337552,17231,4.9,VT
86,2012,Mar,69.3,66.0,354381,337236,17145,4.8,VT
87,2012,Apr,69.3,65.9,354130,336947,17183,4.9,VT
88,2012,May,69.2,65.9,354020,336755,17265,4.9,VT
89,2012,Jun,69.2,65.9,353999,336688,17311,4.9,VT
90,2012,Jul,69.2,65.8,353993,336722,17271,4.9,VT
91,2012,Aug,69.2,65.8,353956,336820,17136,4.8,VT
92,2012,Sep,69.1,65.8,353835,336908,16927,4.8,VT
93,2012,Oct,69.1,65.8,353543,336872,16671,4.7,VT
94,2012,Nov,69.0,65.7,353111,336683,16428,4.7,VT
95,2012,Dec,68.8,65.7,352575,336348,16227,4.6,VT
96,2013,Jan,68.7,65.6,351969,335874,16095,4.6,VT
97,2013,Feb,68.6,65.5,351387,335357,16030,4.6,VT
98,2013,Mar,68.5,65.4,350931,334949,15982,4.6,VT
99,2013,Apr,68.4,65.3,350684,334772,15912,4.5,VT
100,2013,May,68.4,65.3,350554,334741,15813,4.5,VT
101,2013,Jun,68.3,65.3,350425,334728,15697,4.5,VT
102,2013,Jul,68.3,65.3,350240,334676,15564,4.4,VT
103,2013,Aug,68.2,65.2,349953,334580,15373,4.4,VT
104,2013,Sep,68.1,65.2,349601,334486,15115,4.3,VT
105,2013,Oct,68.1,65.2,349300,334450,14850,4.3,VT
106,2013,Nov,68.0,65.2,349089,334466,14623,4.2,VT
107,2013,Dec,68.0,65.2,348937,334491,14446,4.1,VT
108,2014,Jan,68.0,65.2,348806,334528,14278,4.1,VT
109,2014,Feb,67.9,65.2,348678,334573,14105,4.0,VT
110,2014,Mar,67.9,65.2,348585,334605,13980,4.0,VT
111,2014,Apr,67.9,65.2,348513,334580,13933,4.0,VT
112,2014,May,67.9,65.2,348496,334560,13936,4.0,VT
113,2014,Jun,67.9,65.2,348595,334637,13958,4.0,VT
114,2014,Jul,67.9,65.2,348732,334745,13987,4.0,VT
115,2014,Aug,67.9,65.2,348863,334843,14020,4.0,VT
116,2014,Sep,67.9,65.2,348966,334944,14022,4.0,VT
117,2014,Oct,67.9,65.2,348999,335064,13935,4.0,VT
118,2014,Nov,67.9,65.2,348937,335207,13730,3.9,VT
119,2014,Dec,67.8,65.2,348838,335378,13460,3.9,VT
120,2015,Jan,67.8,65.2,348721,335527,13194,3.8,VT
121,2015,Feb,67.7,65.2,348536,335570,12966,3.7,VT
122,2015,Mar,67.7,65.2,348217,335461,12756,3.7,VT
123,2015,Apr,67.6,65.1,347766,335199,12567,3.6,VT
124,2015,May,67.5,65.0,347189,334785,12404,3.6,VT
125,2015,Jun,67.3,64.9,346525,334255,12270,3.5,VT
126,2015,Jul,67.2,64.8,345899,333746,12153,3.5,VT
127,2015,Aug,67.1,64.7,345384,333349,12035,3.5,VT
128,2015,Sep,67.0,64.7,345015,333114,11901,3.4,VT
129,2015,Oct,66.9,64.7,344859,333101,11758,3.4,VT
130,2015,Nov,66.9,64.7,344913,333306,11607,3.4,VT
131,2015,Dec,67.0,64.8,345067,333646,11421,3.3,VT
132,2016,Jan,67.0,64.8,345245,334036,11209,3.2,VT
133,2016,Feb,67.1,64.9,345423,334400,11023,3.2,VT
134,2016,Mar,67.1,65.0,345578,334690,10888,3.2,VT
135,2016,Apr,67.1,65.0,345690,334876,10814,3.1,VT
136,2016,May,67.1,65.0,345778,334986,10792,3.1,VT
137,2016,Jun,67.1,65.0,345859,335071,10788,3.1,VT
138,2016,Jul,67.1,65.0,345924,335154,10770,3.1,VT
139,2016,Aug,67.1,65.0,345995,335259,10736,3.1,VT
140,2016,Sep,67.1,65.0,346058,335351,10707,3.1,VT
141,2016,Oct,67.1,65.0,346102,335396,10706,3.1,VT
142,2016,Nov,67.1,65.0,346202,335457,10745,3.1,VT
143,2016,Dec,67.1,65.0,346418,335584,10834,3.1,VT
144,2017,Jan,67.3,65.2,354265,343122,11143,3.1,VT
145,2017,Feb,67.3,65.2,354646,343512,11134,3.1,VT
146,2017,Mar,67.4,65.3,354970,343933,11037,3.1,VT
147,2017,Apr,67.4,65.3,355243,344374,10869,3.1,VT
148,2017,May,67.4,65.4,355445,344781,10664,3.0,VT
149,2017,Jun,67.4,65.4,355561,345064,10497,3.0,VT
150,2017,Jul,67.4,65.4,355638,345221,10417,2.9,VT
151,2017,Aug,67.3,65.4,355664,345249,10415,2.9,VT
152,2017,Sep,67.3,65.3,355642,345179,10463,2.9,VT
153,2017,Oct,67.3,65.3,355610,345095,10515,3.0,VT
154,2017,Nov,67.2,65.2,355605,345035,10570,3.0,VT
155,2017,Dec,67.2,65.2,355711,345122,10589,3.0,VT
156,2018,Jan,67.3,65.3,355982,345428,10554,3.0,VT
157,2018,Feb,67.3,65.4,356426,345967,10459,2.9,VT
158,2018,Mar,67.4,65.5,356929,346643,10286,2.9,VT
159,2018,Apr,67.5,65.6,357314,347273,10041,2.8,VT
160,2018,May,67.5,65.6,357458,347703,9755,2.7,VT
161,2018,Jun,67.4,65.6,357324,347882,9442,2.6,VT
162,2018,Jul,67.3,65.6,356929,347799,9130,2.6,VT
163,2018,Aug,67.2,65.5,356434,347569,8865,2.5,VT
164,2018,Sep,67.1,65.4,355987,347338,8649,2.4,VT
165,2018,Oct,67.0,65.4,355670,347211,8459,2.4,VT
166,2018,Nov,66.9,65.4,355533,347230,8303,2.3,VT
167,2018,Dec,66.9,65.4,355535,347384,8151,2.3,VT
168,2019,Jan,66.9,65.4,355602,347626,7976,2.2,VT
169,2019,Feb,66.9,65.4,355632,347873,7759,2.2,VT
170,2019,Mar,66.9,65.5,355582,348017,7565,2.1,VT
171,2019,Apr,66.8,65.4,355484,348026,7458,2.1,VT
172,2019,May,66.8,65.4,355359,347871,7488,2.1,VT
173,2019,Jun,66.8,65.3,355287,347583,7704,2.2,VT
174,2019,Jul,66.7,65.2,355359,347258,8101,2.3,VT
175,2019,Aug,66.8,65.1,355624,347026,8598,2.4,VT
176,2019,Sep,66.8,65.1,356107,347048,9059,2.5,VT
177,2019,Oct,66.9,65.1,356663,347295,9368,2.6,VT
178,2019,Nov,66.9,65.2,356961,347608,9353,2.6,VT
179,2019,Dec,66.8,65.1,356792,347628,9164,2.6,VT
180,2020,Jan,66.7,65.0,356211,347148,9063,2.5,VT
181,2020,Feb,66.6,64.8,355409,346225,9184,2.6,VT
182,2020,Mar,66.4,64.6,354712,345190,9522,2.7,VT
183,2020,Apr,68.1,58.3,363610,311439,52171,14.3,VT
184,2020,May,64.5,58.4,344715,311880,32835,9.5,VT
185,2020,Jun,63.3,58.5,338027,312325,25702,7.6,VT
186,2020,Jul,62.8,58.8,335153,313804,21349,6.4,VT
187,2020,Aug,62.1,58.9,331791,314718,17073,5.1,VT
188,2020,Sep,61.8,59.0,330539,315650,14889,4.5,VT
189,2020,Oct,61.4,58.9,328559,315478,13081,4.0,VT
